number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_lr,user_attrs_domain_bal_accs,state
0,0.7248646009890789,2026-09-08 16:12:25.376232,2026-09-08 16:12:45.496929,0 days 00:00:20.120697,6.020270634066183e-05,32,0.0038240129597449457,"{np.str_('animal'): 0.6776101827969048, np.str_('music'): 0.831140350877193, np.str_('soundscapes'): 0.6967213114754098, np.str_('speech'): 0.6939865588068083}",COMPLETE
1,0.7581396291835225,2026-09-08 16:12:45.497429,2026-09-08 16:13:38.817157,0 days 00:00:53.319728,0.35634071429973113,64,0.000422701257835033,"{np.str_('animal'): 0.6963384546372098, np.str_('music'): 0.8473684210526315, np.str_('soundscapes'): 0.7704918032786885, np.str_('speech'): 0.7183598377655604}",COMPLETE
2,0.7672748307538539,2026-09-08 16:13:38.817851,2026-09-08 16:15:43.862163,0 days 00:02:05.044312,0.4295878895062107,64,0.0001583683647358126,"{np.str_('animal'): 0.6979365257373557, np.str_('music'): 0.8723684210526316, np.str_('soundscapes'): 0.7704918032786885, np.str_('speech'): 0.7283025729467403}",COMPLETE
3,0.7464361712318036,2026-09-08 16:15:43.862553,2026-09-08 16:16:12.848034,0 days 00:00:28.985481,0.45452696134337656,64,0.0036596540025705926,"{np.str_('animal'): 0.6734047325333632, np.str_('music'): 0.8723684210526316, np.str_('soundscapes'): 0.7377049180327868, np.str_('speech'): 0.7022666133084329}",COMPLETE
4,0.7363049178196874,2026-09-08 16:16:12.848715,2026-09-08 16:17:29.624674,0 days 00:01:16.775959,0.13487205222047177,64,0.0005001594398486856,"{np.str_('animal'): 0.712347201973758, np.str_('music'): 0.7899122807017545, np.str_('soundscapes'): 0.7295081967213115, np.str_('speech'): 0.7134519918819259}",COMPLETE
5,0.7064419310414576,2026-09-08 16:17:29.625234,2026-09-08 16:17:55.663029,0 days 00:00:26.037795,0.22277184461239136,32,0.007604053923153733,"{np.str_('animal'): 0.6090893798362678, np.str_('music'): 0.8061403508771929, np.str_('soundscapes'): 0.7459016393442623, np.str_('speech'): 0.6646363541081075}",COMPLETE
6,0.7675958987466567,2026-09-08 16:17:55.663519,2026-09-08 16:19:37.369219,0 days 00:01:41.705700,0.10134052240679792,32,0.00023262265171231309,"{np.str_('animal'): 0.7181507233374453, np.str_('music'): 0.8811403508771929, np.str_('soundscapes'): 0.7622950819672132, np.str_('speech'): 0.7087974388047755}",COMPLETE
7,0.7219806389647853,2026-09-08 16:19:37.369601,2026-09-08 16:20:47.795344,0 days 00:01:10.425743,0.3490129453567624,32,0.00013571653189361948,"{np.str_('animal'): 0.5911180890434002, np.str_('music'): 0.8385964912280701, np.str_('soundscapes'): 0.7704918032786885, np.str_('speech'): 0.6877161723089823}",COMPLETE
8,0.7239964481215534,2026-09-08 16:20:47.795855,2026-09-08 16:21:15.965527,0 days 00:00:28.169672,0.08002929364285188,64,0.0029815763311423996,"{np.str_('animal'): 0.6909554782998766, np.str_('music'): 0.8399122807017544, np.str_('soundscapes'): 0.6721311475409836, np.str_('speech'): 0.692986885943599}",COMPLETE
9,0.68817626785501,2026-09-08 16:21:15.966015,2026-09-08 16:22:15.241945,0 days 00:00:59.275930,0.1881847453982763,64,2.693202756450628e-05,"{np.str_('animal'): 0.5370640349893462, np.str_('music'): 0.7960526315789473, np.str_('soundscapes'): 0.7786885245901639, np.str_('speech'): 0.6408998802615824}",COMPLETE
10,0.6363507373419925,2026-09-08 16:22:15.243443,2026-09-08 16:23:05.633139,0 days 00:00:50.389696,0.2598022534469169,32,1.1260661891556184e-05,"{np.str_('animal'): 0.4460300549512168, np.str_('music'): 0.7535087719298246, np.str_('soundscapes'): 0.7377049180327868, np.str_('speech'): 0.6081592044541421}",COMPLETE
11,0.6933458979894505,2026-09-08 16:23:05.633629,2026-09-08 16:23:57.660092,0 days 00:00:52.026463,0.4415182290797336,32,0.00010864677298802538,"{np.str_('animal'): 0.5287092071324436, np.str_('music'): 0.8135964912280702, np.str_('soundscapes'): 0.7786885245901639, np.str_('speech'): 0.652389369007124}",COMPLETE
12,0.7255628617553602,2026-09-08 16:23:57.660599,2026-09-08 16:24:46.778515,0 days 00:00:49.117916,0.31388255898991246,32,0.0003409740825296019,"{np.str_('animal'): 0.603033531456768, np.str_('music'): 0.8298245614035088, np.str_('soundscapes'): 0.7704918032786885, np.str_('speech'): 0.6989015508824754}",COMPLETE
