number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_lr,user_attrs_domain_bal_accs,state
0,0.767048866507855,2026-09-01 16:29:45.820848,2026-09-01 16:30:37.424775,0 days 00:00:51.603927,0.37037669922003447,32,0.0017633685516645669,"{np.str_('animal'): 0.7351687787372435, np.str_('music'): 0.7346491228070176, np.str_('soundscapes'): 0.6475409836065573, np.str_('speech'): 0.9508365808806014}",COMPLETE
1,0.7865363889299465,2026-09-01 16:30:37.425445,2026-09-01 16:31:26.391948,0 days 00:00:48.966503,0.19158313087630746,32,0.0007381784416323043,"{np.str_('animal'): 0.7575137378041943, np.str_('music'): 0.743421052631579, np.str_('soundscapes'): 0.6967213114754098, np.str_('speech'): 0.9484894538086028}",COMPLETE
2,0.8036808926266433,2026-09-01 16:31:26.392558,2026-09-01 16:32:51.907266,0 days 00:01:25.514708,0.09940758173401221,32,0.00014331744270381383,"{np.str_('animal'): 0.7253280251205563, np.str_('music'): 0.8184210526315789, np.str_('soundscapes'): 0.721311475409836, np.str_('speech'): 0.9496630173446021}",COMPLETE
3,0.7772846207748046,2026-09-01 16:32:51.908051,2026-09-01 16:33:12.679965,0 days 00:00:20.771914,0.19686073812071803,128,0.005198173002440708,"{np.str_('animal'): 0.6799932712795783, np.str_('music'): 0.7833333333333333, np.str_('soundscapes'): 0.7049180327868853, np.str_('speech'): 0.9408938456994216}",COMPLETE
4,0.7878985089310867,2026-09-01 16:33:12.680441,2026-09-01 16:35:17.441579,0 days 00:02:04.761138,0.4495542981188464,64,3.2226698526290365e-05,"{np.str_('animal'): 0.7835875294381518, np.str_('music'): 0.7320175438596491, np.str_('soundscapes'): 0.6885245901639345, np.str_('speech'): 0.9474643722626115}",COMPLETE
5,0.7532510222602741,2026-09-01 16:35:17.442037,2026-09-01 16:37:20.183611,0 days 00:02:02.741574,0.4495580007192713,64,4.1995054156775385e-05,"{np.str_('animal'): 0.7544858136144443, np.str_('music'): 0.7070175438596491, np.str_('soundscapes'): 0.6065573770491803, np.str_('speech'): 0.9449433545178226}",COMPLETE
6,0.7354661146158445,2026-09-01 16:37:20.184022,2026-09-01 16:39:05.699009,0 days 00:01:45.514987,0.2389926014875381,32,2.1132535852088562e-05,"{np.str_('animal'): 0.7669900190647079, np.str_('music'): 0.6153508771929824, np.str_('soundscapes'): 0.6147540983606558, np.str_('speech'): 0.9447694638450324}",COMPLETE
7,0.7895504880002422,2026-09-01 16:39:05.699541,2026-09-01 16:39:26.502732,0 days 00:00:20.803191,0.10410685152736526,64,0.0023087927575032078,"{np.str_('animal'): 0.776718627341034, np.str_('music'): 0.7258771929824561, np.str_('soundscapes'): 0.7049180327868853, np.str_('speech'): 0.9506880988905934}",COMPLETE
8,0.7871835978070741,2026-09-01 16:39:26.503187,2026-09-01 16:40:03.823937,0 days 00:00:37.320750,0.2610456042730136,128,0.0004291933802116359,"{np.str_('animal'): 0.757990355500729, np.str_('music'): 0.7684210526315789, np.str_('soundscapes'): 0.6721311475409837, np.str_('speech'): 0.950191835555005}",COMPLETE
9,0.7543455859309428,2026-09-01 16:40:03.824540,2026-09-01 16:42:07.585601,0 days 00:02:03.761061,0.38273676349163044,64,1.529513197866509e-05,"{np.str_('animal'): 0.7825782213749019, np.str_('music'): 0.6092105263157894, np.str_('soundscapes'): 0.680327868852459, np.str_('speech'): 0.9452657271806209}",COMPLETE
